,event_name,city,event_description,event_date,date_added
23,"Certified ScrumMaster (CSM) - New York, NY","New+York,+NY","
Why take this CSM course? 
That’s easy: The Scrum Alliance provides a list of core concepts that must be covered in the class, but the quality of the training depends on your instructor. Agile For All trainers are top-rated instructors and expert coaches. Since 2008, 99% of all attendees recommend Agile For All trainers. (Guess we can’t please everyone.)
Beyond learning the Scrum framework our trainers will inspire, challenge, and motivate you.

Learn the underlying Agile principles, practices, techniques to succeed as a ScrumMaster®.
Gain insights on how to facilitate, coach, resolve conflict and lead a team.
Benefit from real world industry experiences so the course material remains relevant to your needs.

After completing this course you can opt-in to become a Certified ScrumMaster® by passing a short exam on the Scrum Alliance website.

Course Length: 2 days
 
We guarantee our CSM workshop will be a one-of-a-kind experience, instilling confidence to engage successful Agile practices right away.
 
OUR CSM WORKSHOP INCLUDES

Continental breakfast, lunch and beverages
Two-year membership in the Scrum Alliance, a $50 value
Bound copy of the course materials
CSM Exam Prep Review booklet
Access to free Scrum and Agile resources

  

 
Learning Objectives 
By the end of the workshop you will be able to:

Describe the Scrum framework to others
Explain the difference between the Scrum framework and other processes and systems 
Be a successful ScrumMaster for a Scrum team
Help a Scrum team plan successfully
Create a personal plan for the future


   DOWNLOAD COURSE DETAILS
 
 
 
What Participants Say
 
“I expected to get a ‘pre-recorded’ and ‘scripted’ class. Instead, I got a collaborative experience, which was worlds better than the typical trainings I’ve sat through.” 
“Very practical and helpful information. It actually applies to more than just in the workforce. This class was very interactive, which helped our team significantly in learning and applying the material.”
 

 
Other Advantages 
HIGH RETENTION: Agile For All trainers use accelerated learning techniques like Training From The Back Of The Room to present the course material in brain-friendly ways that help you maximize learning and retention.
NO BOREDOM: Rather than death by PowerPoint and long lectures, Agile For All courses are designed to be highly interactive.
FUN: Every part of this course is designed to keep you engaged and having fun while learning the material. 
WHYS BEFORE HOWS: Beyond the basic Scrum framework, you’ll learn the underlying principles and values that drive success before getting into successful practices, allowing you to understand the practices at a much deeper level. 
LEARN BY DOING: Multiple creative exercises and simulations give you the opportunity to practice core skills necessary to be a successful Certified ScrumMaster® — skills like facilitation, coaching, conflict resolution and leadership.
 
TAKE BOTH CSM AND CSPO CLASSES IN JUST 4 DAYS.
SAVE $200!
 
“FASTTRACK” CERTIFICATIONS: Several times a year our CSM and CSPO workshops coincide in the same location, so you can “fast track” your Agile skills and receive both Certified ScrumMaster® and Certified Scrum Product Owner® training in just 4 days! Simply check your course search results to see if a FastTrack option is available.
  
About the Course Facilitator
Peter Saddington
Peter has been in software development since 1997, starting out as a developer at Johnson & Johnson. Hie is a Certified Scrum Trainer (CST) and an Organizational Scientist. Prior to joining Agile For All, he founded Action & Influence, which was named the Best Training Company in Atlanta in 2013. He writes for AgileScout.com, which is one of the top 20 Agile software development blogs in the world, as well as being author of ""The Pocket Agile Guide"" published in 2012. Holding Masters degrees in Counseling, Education, and Religion, Peter brings an extensive educational background to everything he does. He also gives back to his community by being a volunteer counselor.   
 
 
Onsite Courses
Want the training to come to you? Agile For All does onsite training workshops at reasonable prices with some of the top Scrum Alliance Certified ScrumMaster® Coaches and Trainers. 
Contact us for information on private workshops, group discounts or questions.  303.766.0917
 

 
  
Professional Development Units (PDUs) PMPs: You can receive 14 PDUs for this course.Need to convince someone else?Download a PDF brochure you can send to others.
 
 
All CSM courses are taught by Certified Scrum Trainers. Taking a CSM course, passing the CSM test, and accepting the license agreement designates you as a Certified ScrumMaster, which indicates that you have been introduced to and understand the basic concepts you need to perform as a ScrumMaster or team member on a Scrum team. This course also satisfies two elements of the CSD track: Scrum Introduction and Elective.
 

 
Who This Course is Designed For
If you work in an organization that creates any sort of product, then you are an ideal CSM candidate.  While the course is primarily designed for people filling the role of ScumMaster, anyone who wants to help their organization be more successful is encouraged to attend.
If you are already on a Scrum team you will learn how to become a change agent to help your team achieve a higher level of success. 

Architects
Business Analysts
DBAs
Developers
Directors
Documentation Specialists
Executives
Managers
Marketing People
Product Managers
Project Managers
Testers
Team Members
Sales People
Operations and Support
Technical Writers
Trainers

  
 DOWNLOAD COURSE DETAILS
 
 
 
Course Topics
We go into detail on how to facilitate, coach, resolve conflict and lead a team, as well as share our industry experiences so our course material remains relevant. Some of the material covered during the 2-day workshop:
SCRUM THEORYThe three legs of Scrum theory: transparency, inspection and adaptation are examined in detail. 
SCRUM FRAMEWORK BASICSThe meetings, artifacts and roles which make up the Scrum process. 
SCRUM PRACTICESEstimation, planning and other practices which are commonly used in Scrum.
SCRUM LEADERSHIPWhat is it and why is it important for a ScrumMaster? 
COACHING AND FACILITATIONCoaching scenarios and facilitation techniques commonly used by ScrumMasters. 
CONFLICT RESOLUTION AND BUILDING TRUSTHelpful hints and techniques for building strong teams even if conflict exists.
 
 DOWNLOAD COURSE DETAILS
 ",2017-09-21,2017-04-20 11:35:48.481872
24,"PMP Training in New York City, NY","New+York,+NY","Key Features

32 hours of Interactive Online Classroom
100% Money Back Guarantee
PMBOK® Guide  5th Edition from PMI
PMP® Mock Exams and Mock Projects
Group Activities for better reinforcement
Free Webinars
Real world examples from various industries
Industry based case studies
Life time access to classroom recordings
Trainers’ Notes, Sample Question Paper & Case Studies
Free additional 45 PDUs Offered
35 Contact hours certificate
PMP exam application assistance
24/7 customer support

About the Course
Project Management Professional (PMP®) certification is the top professional certifications for project managers offered by the Project Management Institute, USA. PMI’s latest salary survey confirms what businesses, job boards and the media have been proclaiming for the past two years: Project management is one of the hottest professions out there. Your PMI credential — specifically, the Project Management Professional (PMP)® credential — also positively impacts your salary, according to the survey responses of more than 30,000 practitioners in 29 countries. The positive impact is not exclusive to the U.S. PMP credential holders in all countries surveyed noted higher median salaries than non-credential holders — some upwards of 50 percent more.
Who needs to attend?
Associate project managers, project managers, IT project managers, project coordinators, project analysts, project leaders, senior project managers, team leaders, product managers, program managers, project sponsors, and project team members seeking the PMP or CAPM certification.
What is this course about?
PMP training from Trainerkart is a unique, power packed, career-ready package and one of a kind in the industry. Project Management Professional (PMP®) certification is the topmost professional certification for project managers offered by the Project Management Institute.
What learning benefits do you get from Trainerkart’s training?

Establish a common vocabulary and understanding of basic Project Management terms and concepts such as PMBOK®, project, Project management, operations, programs, stakeholders, earned value, scheduling techniques, and project managers’ responsibilities and competencies.
Describe the purpose, inputs, and outputs of the processes in each of the five Process Groups: Initiating, Planning, Executing, Monitoring & Controlling, and Closing
Define the 10 Project Management Knowledge areas & the processes in each. Define & explain the relationship of process groups, Knowledge areas, project phases, project &product life cycle
Demonstrate a clear understanding of what activities, tools, & techniques, are necessary in each phase of a project & understand the PMP® examination nuances
Understand, acknowledge & appreciate importance of risk management. Learn tools and techniques for managing the risks in projects
Overview of Critical Chain Project Management (CCPM) & discussion on concept of Buffer Management.
Help the participants to understand one, understand others, and manage the interface more efficiently & effectively. Understanding the impact of organizational structures on projects
Discussion on project manager’s professional responsibilities.
With the help of case studies, motivating the participants to use the principles of Project Management in their own Work area discussed with the help of case studies.

Why Trainerkart Learning Solution?
Trainerkart Learning Solutions training is the best and value for time & money invested. We stand out because our customers
Get trained at the best price compared to other training providers.Get trained by the best trainer in the industry.Get access to course specific learning videos.Get 100% Money back guarantee.",2017-04-25,2017-04-20 11:35:48.481872
25,"NCV & EMG Training - New York, NY","New+York,+NY","There are many features that distinguish Empire Medical Training's NCV EMG (Electromyography) training. For one, and unlike another leading EMG NCV learning institution, we do not use this professional, medical workshop as a hidden strategy to sell equipment or other NCV EMG (Electromyography) services. The training you will receive with Empire is hands on, comprehensive, and instructed by Physician specialists. You will receive unbiased, non commercial medical information and latest standarad of care procedures for NCV EMG studies including the latest protocols.  Included with your workshop will be education videos showing detail demonstrations of the most common EMG and NCVS services you will be providing.
This NCV-EMG workshop will prepare the physician to integrate the technical and business requirements to set up a full nerve conduction studies practice in their primary care office.
For more course information contact us at:
Empire Medical TrainingToll Free: 866.333.6747 email: info@empiremedicaltraining.comweb: www.empiremedicaltraining.com ",2017-06-26,2017-04-20 11:35:48.481872
26,"Certified ScrumMaster (CSM) - New York, NY","New+York,+NY","
Why take this CSM course? 
That’s easy: The Scrum Alliance provides a list of core concepts that must be covered in the class, but the quality of the training depends on your instructor. Agile For All trainers are top-rated instructors and expert coaches. Since 2008, 99% of all attendees recommend Agile For All trainers. (Guess we can’t please everyone.)
Beyond learning the Scrum framework our trainers will inspire, challenge, and motivate you.

Learn the underlying Agile principles, practices, techniques to succeed as a ScrumMaster®.
Gain insights on how to facilitate, coach, resolve conflict and lead a team.
Benefit from real world industry experiences so the course material remains relevant to your needs.

After completing this course you can opt-in to become a Certified ScrumMaster® by passing a short exam on the Scrum Alliance website.

Course Length: 2 days
 
We guarantee our CSM workshop will be a one-of-a-kind experience, instilling confidence to engage successful Agile practices right away.
 
OUR CSM WORKSHOP INCLUDES

Continental breakfast, lunch and beverages
Two-year membership in the Scrum Alliance, a $50 value
Bound copy of the course materials
CSM Exam Prep Review booklet
Access to free Scrum and Agile resources

  

 
Learning Objectives 
By the end of the workshop you will be able to:

Describe the Scrum framework to others
Explain the difference between the Scrum framework and other processes and systems 
Be a successful ScrumMaster for a Scrum team
Help a Scrum team plan successfully
Create a personal plan for the future


   DOWNLOAD COURSE DETAILS
 
 
 
What Participants Say
 
“I expected to get a ‘pre-recorded’ and ‘scripted’ class. Instead, I got a collaborative experience, which was worlds better than the typical trainings I’ve sat through.” 
“Very practical and helpful information. It actually applies to more than just in the workforce. This class was very interactive, which helped our team significantly in learning and applying the material.”
 

 
Other Advantages 
HIGH RETENTION: Agile For All trainers use accelerated learning techniques like Training From The Back Of The Room to present the course material in brain-friendly ways that help you maximize learning and retention.
NO BOREDOM: Rather than death by PowerPoint and long lectures, Agile For All courses are designed to be highly interactive.
FUN: Every part of this course is designed to keep you engaged and having fun while learning the material. 
WHYS BEFORE HOWS: Beyond the basic Scrum framework, you’ll learn the underlying principles and values that drive success before getting into successful practices, allowing you to understand the practices at a much deeper level. 
LEARN BY DOING: Multiple creative exercises and simulations give you the opportunity to practice core skills necessary to be a successful Certified ScrumMaster® — skills like facilitation, coaching, conflict resolution and leadership.
 
TAKE BOTH CSM AND CSPO CLASSES IN JUST 4 DAYS.
SAVE $200!
 
“FASTTRACK” CERTIFICATIONS: Several times a year our CSM and CSPO workshops coincide in the same location, so you can “fast track” your Agile skills and receive both Certified ScrumMaster® and Certified Scrum Product Owner® training in just 4 days! Simply check your course search results to see if a FastTrack option is available.
  
About the Course Facilitator
Peter Saddington
Peter has been in software development since 1997, starting out as a developer at Johnson & Johnson. Hie is a Certified Scrum Trainer (CST) and an Organizational Scientist. Prior to joining Agile For All, he founded Action & Influence, which was named the Best Training Company in Atlanta in 2013. He writes for AgileScout.com, which is one of the top 20 Agile software development blogs in the world, as well as being author of ""The Pocket Agile Guide"" published in 2012. Holding Masters degrees in Counseling, Education, and Religion, Peter brings an extensive educational background to everything he does. He also gives back to his community by being a volunteer counselor.   
 
 
Onsite Courses
Want the training to come to you? Agile For All does onsite training workshops at reasonable prices with some of the top Scrum Alliance Certified ScrumMaster® Coaches and Trainers. 
Contact us for information on private workshops, group discounts or questions.  303.766.0917
 

 
  
Professional Development Units (PDUs) PMPs: You can receive 14 PDUs for this course.Need to convince someone else?Download a PDF brochure you can send to others.
 
 
All CSM courses are taught by Certified Scrum Trainers. Taking a CSM course, passing the CSM test, and accepting the license agreement designates you as a Certified ScrumMaster, which indicates that you have been introduced to and understand the basic concepts you need to perform as a ScrumMaster or team member on a Scrum team. This course also satisfies two elements of the CSD track: Scrum Introduction and Elective.
 

 
Who This Course is Designed For
If you work in an organization that creates any sort of product, then you are an ideal CSM candidate.  While the course is primarily designed for people filling the role of ScumMaster, anyone who wants to help their organization be more successful is encouraged to attend.
If you are already on a Scrum team you will learn how to become a change agent to help your team achieve a higher level of success. 

Architects
Business Analysts
DBAs
Developers
Directors
Documentation Specialists
Executives
Managers
Marketing People
Product Managers
Project Managers
Testers
Team Members
Sales People
Operations and Support
Technical Writers
Trainers

  
 DOWNLOAD COURSE DETAILS
 
 
 
Course Topics
We go into detail on how to facilitate, coach, resolve conflict and lead a team, as well as share our industry experiences so our course material remains relevant. Some of the material covered during the 2-day workshop:
SCRUM THEORYThe three legs of Scrum theory: transparency, inspection and adaptation are examined in detail. 
SCRUM FRAMEWORK BASICSThe meetings, artifacts and roles which make up the Scrum process. 
SCRUM PRACTICESEstimation, planning and other practices which are commonly used in Scrum.
SCRUM LEADERSHIPWhat is it and why is it important for a ScrumMaster? 
COACHING AND FACILITATIONCoaching scenarios and facilitation techniques commonly used by ScrumMasters. 
CONFLICT RESOLUTION AND BUILDING TRUSTHelpful hints and techniques for building strong teams even if conflict exists.
 
 DOWNLOAD COURSE DETAILS
 ",2017-11-30,2017-04-20 11:35:48.481872
27,"PMP Online Training in New York, NY","New+York,+NY","Key Features

90 Days e-Learning Access Included
PMBOK® Guide 5th Edition from PMI
PMP® Mock Exams and Mock Projects
Group Activities for better reinforcement
Real world examples from various industries
Industry based case studies
Trainers’ Notes, Sample Question Paper & Case Studies
35 Contact hours certificate
PMP exam application assistance
24/7 customer support


About the Course
Project Management Professional (PMP®) certification is the top professional certifications for project managers offered by the Project Management Institute, USA. PMI’s latest salary survey confirms what businesses, job boards and the media have been proclaiming for the past two years: Project management is one of the hottest professions out there. Your PMI credential — specifically, the Project Management Professional (PMP)® credential — also positively impacts your salary, according to the survey responses of more than 30,000 practitioners in 29 countries. The positive impact is not exclusive to the U.S. PMP credential holders in all countries surveyed noted higher median salaries than non-credential holders — some upwards of 50 percent more.
Who needs to attend?
Associate project managers, project managers, IT project managers, project coordinators, project analysts, project leaders, senior project managers, team leaders, product managers, program managers, project sponsors, and project team members seeking the PMP or CAPM certification.
What is this course about?
PMP training from Trainerkart is a unique, power packed, career-ready package and one of a kind in the industry. Project Management Professional (PMP®) certification is the topmost professional certification for project managers offered by the Project Management Institute.
What learning benefits do you get from Trainerkart’s training?

Establish a common vocabulary and understanding of basic Project Management terms and concepts such as PMBOK®, project, Project management, operations, programs, stakeholders, earned value, scheduling techniques, and project managers’ responsibilities and competencies.
Describe the purpose, inputs, and outputs of the processes in each of the five Process Groups: Initiating, Planning, Executing, Monitoring & Controlling, and Closing
Define the 10 Project Management Knowledge areas & the processes in each. Define & explain the relationship of process groups, Knowledge areas, project phases, project &product life cycle
Demonstrate a clear understanding of what activities, tools, & techniques, are necessary in each phase of a project & understand the PMP® examination nuances
Understand, acknowledge & appreciate importance of risk management. Learn tools and techniques for managing the risks in projects
Overview of Critical Chain Project Management (CCPM) & discussion on concept of Buffer Management.
Help the participants to understand one, understand others, and manage the interface more efficiently & effectively. Understanding the impact of organizational structures on projects
Discussion on project manager’s professional responsibilities.
With the help of case studies, motivating the participants to use the principles of Project Management in their own Work area discussed with the help of case studies.

Why Trainerkart Learning Solution?
Trainerkart Learning Solutions training is the best and value for time & money invested. We stand out because our customers
Get trained at the best price compared to other training providers.Get trained by the best trainer in the industry.Get access to course specific learning videos.Get 100% Money back guarantee.",2017-04-11,2017-04-20 11:35:48.481872
28,"The Elevation Effect | New York City, NY, USA ","New+York,+NY","Welcome to The Elevation Effect!
A live, 3-day experiential and explosive weekend for men with a desire to awaken clarity, build massive awareness, and produce sustainable results in their personal and professional lives. This intimate gathering is a opportunity to receive tools and techniques that will support you in living a powerful, fulfilling and purpose driven life.
To all VIP Registrants:
Sunday morning you will join JuVan for a hot seat experience which includes live Laser Coaching, Q+A Session and a savory brunch.

WEEKEND SCHEDULE 
Friday     6:00 pm - 7:00pm      
                7:00pm - 11:00 pm   
Saturday  9:00 AM - 6:00 PM      
Sunday    8:30AM - 9:30 AM     
                10:00AM - 6:00 PM       
Find Out More About JuVan Langford



",2017-09-01,2017-04-20 11:35:48.481872
29,"Cynefin & Complexity Foundations - New York City, NY","New+York,+NY","In today’s increasingly volatile and uncertain world, there is a need  for new ways of making sense of current situations and managing in new and rapidly shifting contexts. Our past practices and approaches are failing us and what had worked reliably during more stable times in the past is unfortunately proving inadequate for the dynamic present. This course challenges the deeply rooted thinking patterns that have been ingrained by years of conventional thinking.
Take a dive into complexity theory, and the practical implications for operating in a world of inherent uncertainty.  Learn about the Cynefin framework – and how to apply it in organisations; how to make better decisions, dependent on the situation; cognitive neuroscience – and how it can shape how we build and communicate in organisations.

What it’s about:
Complexity has become a buzzword for the world we work within - this course provides you with the foundational tools to understand what it means to act and manage in complexity.
Cynefin and Complexity Foundations forms the core component of Cognitive Edge's training offerings. It contributes to building the basic scaffolds around which further anthro-complexity (also referred to as “cognitive complexity”) approaches and concepts are constructed, and form a key sense-making toolkit for working in complex environments. 

Who it is for:
This course designed for people who work in constantly-evolving, dynamic situations, dealing daily with uncertainty and risk, and looking for a enhanced compass for building organisations that are both resilient and innovative. Whether you work in an organisation navigating intractable problems, or are a consultant looking to include complexity principles into your practice - or if you are simply complexity-curious - this Foundations class is for you.

What we will cover:
This has been designed as a 3-day session - a combination of deep immersion into Anthro-complexity, and introduction to working with the Cynefin framework, to complete the Foundations level sessions.
The session will begin with an introduction to complexity, and the natural and human science that sit behind the naturalising tradition of anthro-complexity. Discover and manage the evolutionary potential of the present by increasing situational awareness of the types of systems that we sit within, and how to modulate within complex systems.
The Cynefin framework has subtleties and nuances which are not easily accessible to the casual reader. Building on the basics of anthro-complexity, and the Harvard Business Review article, the third day goes deeper into the uses of the framework, accompanied by facilitated workshop activities and tools that have been used in organisations as diverse as the European Commission, multinational telecoms companies and R&D departments of FMCG companies to bring diverse teams together in pursuit of corporate objectives.
To see a brochure for this course, click here.

NOTE:Cognitive Edge reserves the right to cancel or re-schedule the offered session.  In the event of cancelation or rescheduling, a full refund of course fees will be processed within 10 business days of cancellation or rescheduling notice.  Cancellations by registrants are only permitted with a minimum of 3 weeks notice ahead of course delivery date with refunds provided less a 10% processing fee. Substitutions are permitted at any time as well as rescheduling attendance to an alternate session within a 12 month period.
Explanation of the ticket choices:

If you are part of a group of FOUR (4) or more people, then please email training@cognitive-edge.com for a group discount.
Premium Members get 15% discount on all training. Sign up for the Network here: Cognitive Edge network registration for a Basic membership. When you’ve done that you’ll be directed to the Network Dashboard page, click on the upgrade option to pay to become a Premium member and use the 15% discount code.

 
NOTE: Group discounts cannot be used cumulatively with Network Membership discounts. If you have further questions, please contact training@cognitive-edge.com",2017-10-02,2017-04-20 11:35:48.481872
30,Taste New York: A NY Craft Beverage Experience,"New+York,+NY","Join us for a beverage tasting experience featuring New York State craft beer, cider, wine, and spirits. Taste through the state as you enjoy regional bites from local purveyors and meet the makers behind the brands.
We will have a VIP Experience with early access to the event for an exclusive cocktail demonstration featuring top bartenders from BlackTail and The Dead Rabbit.  They will skillfully craft cocktails using multiple tipples just for this portion.  Local pours will be accompanied by New York cheeses, charcuterie, and other hors d'oeuvres from some of the most celebrated artisans in notable regions.  
Over 50 producers from the Finger Lakes, Long Island, Hudson Valley, Capital Region, NYC, and Western New York will be featured at this walk-around tasting reception.  For more information, please visit www.tastenyexperience.com.
#DrinkNY
PARTICIPATING BEVERAGE PRODUCERS:
21 Brix Winery
42 North
Aaron Burr Cidery
Abandon Brewing
Anthony Road Wine Co.
Bedell Cellars
Benmarl Winery
Breuckelen Distilling
Broken Bow Brewery
Brooklyn Cider House
Brooklyn Winery
Brotherhood Winery
Channing Daughters Winery
Community Beer Works 
Delaware Phoenix Distillery
Descendant Cider 
Doc Herson’s Natural Spirits
Dr. Konstantin Frank
Embark Craft Ciderworks
Eve's Cidery
Finger Lakes Distilling
Five & 20 Spirits
Flying Belgian Brewery
Four Mile Brewing 
Fox Run Vineyards
Hermann J. Wiemer Vineyard
Ithaca Beer
Johnson Estate Winery
KAS Spirits
Kings County Brewers Collective
Kings County Distillery
Lakewood Vineyards
Macari Vineyards
Moustache Brewing 
Newburgh Brewing
NY Distilling Co.
Orchard Hill Cider Mill
Prohibition Distillery
Raphael Vineyard and Winery
Rushing Duck
Saratoga Brewing
Shmaltz Brewing (Capital District location)
Slyboro Cidery
South Hill Cider
Van Brunt Stillhouse
Wagner Vineyards
Whitecliff Vineyard
Yonkers Brewing

ARTISANAL PURVEYORS
Bruce Cost Ginger Ale
Cabot Cheese Cooperative
Mercer's Wine Ice Cream
New York Wine & Culinary Center

",2017-05-24,2017-04-20 11:35:48.481872
31,"Everlast Striking Specialist Workshop-New York, NY","New+York,+NY","Description:
Fight sports athletes have long been noted for their supreme level of fitness. The goal of this striking specialization is to educate the fitness professional about how to use striking and other principles of fight sports to further their understanding of Functional Integrated Training (F.I.T.). This one day, 8 hour, striking specialist workshop will provide instruction on how to properly deliver, teach and integrate striking and strike-based drills into traditional and non-traditional based fitness training. 
Goal:
Learn how to incorporate strike based training and fight sport rationale into a total body fitness curriculum that provides well-structured, high-intensity workouts. After this workshop, attendees will have a firm understanding of how to seamlessly integrate elements of fight sports into general fitness programming. 
 Material Covered:

Upper and Lower Body Strike Delivery, Instruction and Coaching
Pad Holding Instruction and Coaching
Everlast F.I.T. 360 Program Overview

 Specialization Package Includes:

Everlast F.I.T. Fundamentals:  Striking Specialist Level 1 Certificate
1 Pair of Everlast Universal Training Gloves
Everlast F.I.T. Fundamentals Workshop Manual
Exclusive access to advanced content
Discounted Equipment Packages
.8 NASM CEU's
",2017-07-23,2017-04-20 11:35:48.481872
32,"Warhol Paintings Seminar Event New York, NY - Sell Warhol Paintings NY, NY","New+York,+NY","Warhol Paintings Seminar Event NY - Our seminar event will help you sell your Warhol paintings for top dollar to a trusted and experienced dealer. If you want to sell your Warhol paintings, you need to be informed about all aspects of selling your Warhol paintings such as;

Where can I get the best price for my Warhol paintings?
Where can I sell my Warhol paintings?
How can I sell my Warhol paintings?How much are my Warhol paintings worth?

Our seminar will answer all of your questions that you may have about selling your Warhol paintings.

We do not have many of these Warhol paintings seminars though, so please contact us directly if you would like your questions answered sooner.

We are specialists in the sale and acquisition of Warhol paintings. Call us today to discuss your goals or visit our website at
http://www.wellhungartgallery.com/

(267) 989-9191",2017-04-21,2017-04-20 11:35:48.481872
33,"Eric Stanley Life Tour @ Suite 36 - New York, NY ","New+York,+NY","Representing the elite genre of classically-trained artists, Eric Stanley is the new face and persona of the young and creative innovators boldly changing the musical landscape by honoring tradition yet embracing the present.
His artistry is inescapable. No matter which genre of music you prefer, his vibe and melodic presence will resonate with you. Eric has been influential in the art of improvisation by remixing popular songs on his violin and fusing Classical, Pop, Jazz, Country, EDM and Hip Hop elements.
Growing up in a musical household, Eric’s mother would play piano while he and his siblings sang along. During one of his family’s jam sessions, Eric’s older brother played a viola which sparked Eric’s interest in playing viola as well. The then 12 year old chose to play violin instead when viola proved to be a challenge due to its size. During his high school years, he received professional training and joined the Richmond Youth Symphony Orchestra.
At the suggestion of his older sister, Eric uploaded videos of himself playing violin covers of his favorite songs in his dorm room to YouTube while attending Virginia Commonwealth University. To Eric’s surprise, his YouTube channel became a hit. The influx of requests for Eric to perform worldwide began and remain constant today.
Awarded YouTube’s Silver Play Button Award in 2015 and the Black Caucus, Black Student Union & NAACP’s Master Of Music Award in 2012, Eric continues to amaze his 130K+ YouTube subscribers and the masses, hence, his 19 million+ YouTube views.
His impressive performance repertoire includes: ESPN’s First Take, International Emmy® Kids Awards, Hennessy’s 250th Celebration, Kimora Lee Simmons’ KLS Spring Summer 2017 NY Fashion Week Show, Televisa’s TVyNovelas Nominee Awards Party, Birth Of A Nation Premiere Reception, ShaggFest, Super Bowl Champ Michael Robinson’s Celebrity Waiter Fundraiser, 9 Mile Music Festival, Senator Kevin S. Parker’s Annual MLK, Jr. Tribute Concert, Richmond Jazz Festival, Nordic eCommerce Summit, TEDxRVA, as well as Elliot Masie’s Learning Conference 2011 in which former President Bill Clinton served as keynote speaker, just to name a few.
This musical prodigy has performed in concert with Machine Gun Kelly, Mr. Cheeks of Lost Boyz fame, and served as an opening act for B.O.B, Wale, J. Cole, Big Daddy Kane, Kid Capri, Chad Hugo, and Hezekiah Walker.
With a worldwide fan base, Eric Stanley is well on his way to achieving his goal of inspiring others with his violin.   ""Trying to be better than someone else is a pure waste of time. Strive to be better than you were yesterday"" - Eric Stanley
www.EricStanleyWorldwide.com
",2017-07-08,2017-04-20 11:35:48.481872
34,"Les Mills Business Insights Session - New York, NY","New+York,+NY","

Join us for our ""Relationships Beyond Memberships"" seminar.
Our next business insights seminar is coming to you and we would love to see you there.
We will discuss the current key trends and drivers in the industry, and then offering a number of different strategies to turn these into opportunities for your club to grow into a more profitable, resilient business. 
This is a unique opportunity to learn more about a range of important topics, from engaging existing members to effective club marketing. Spaces are limited – register now to ensure your spot!

SCHEDULE
11:15 AM  
Check-in – please bring your registration confirmation, either printed or on your smartphone.
11:30 AM - 2:00 PM  
Relationships Beyond Memberships Seminar – we will share a variety of insights, but don’t hesitate to come with questions.
Lunch will be provided
",2017-04-19,2017-04-20 11:35:48.481872
35,"Fortunate Youth Spring CD Release 2017 VIP - New York, NY","New+York,+NY","***GENERAL ADMISSION IS NOT INCLUDED IN OUR VIP TICKETS***
VIP PACKAGE A(Only 10 Available):
- 30 Min. Early Entrance to Venue
- Meet & Greet and Pictures with Fortunate Youth
- Exclusive Foil Print Tour Poster 18""x24""
- Exclusive Fortunate Youth VIP Lapel Pin
- Exclusive 5"" Tour Mood Mat
- Exclusive Fortunate Youth Beverage Coozie
-Fortunate Youth VIP Laminate(This Laminate will Not get you backstage access)
- Sponsor Swag Bags

VIP PACKAGE B (only 5 available):
- 2 song Acoustic Performance with Dan Kelly on the FY Bus
- 30 Min. Early Entrance to Venue
- Meet & Greet and Pictures with Fortunate Youth
- Exclusive Foil Print Tour Poster 18""x24""
- Exclusive Fortunate Youth VIP Lapel Pin
- Exclusive 5"" Tour Mood Mat
- Exclusive Fortunate Youth Beverage Coozie
-Fortunate Youth VIP Laminate(This Laminate will Not get you backstage access)
- Sponsor Swag Bags",2017-04-28,2017-04-20 11:35:48.481872
36,REGIONAL BOOT CAMP - LMN Time (New York NY),"New+York,+NY",,2017-04-21,2017-04-20 11:35:48.481872
37,SpeedNY Singles Event - Speed Dating in New York City,"New+York,+NY","A low key, sophisticated approach to dating in New York. Preferring a 'less is more' environment devoid of typical event trappings. Gone are the name-tags, shouting and over-the-top party trimmings. Meeting your special someone shouldn't be anything but a comfortable and relaxed experience. Creating a private club atmosphere while recognizing our clients are also our product - we reward lovely daters with discounts and complimentary events and refuse service to anyone we don't think you'll fancy meeting. This is where being lovely has it's perks!





Speed Dating @ Katra Lounge | Lower East Side - April 26th 2017
Ages: 25-39 | 8PM
217 Bowery Street, New York, NY 10002




http://www.speednydating.com
SpeedNY Dating & Matchmaking",2017-04-27,2017-04-20 11:35:48.481872
38,"Women in Advocacy and Politics Workshop NYC 2017 - New York, NY","New+York,+NY","Women in Advocacy and Politics Workshop NYC 2017 - New York, NY  
Agenda
8am to 11:50 am
Advocacy 101 is course that gives an overview of policymaking at the state legislative and municipal levels of government. The course illustrates basic forms of advocacy as well how to effectively communicate with elected officials and policy makers. The companion course Fundraising for Advocates gives instruction on essential fundraising skills needed for advocates. 
Fundraising for Advocates is a companion course to our Advocacy 101 course. This course gives instruction on fundraising for advocacy organizations, issue campaigns and non-profit service organizations. The course curriculum covers fundraising best practices, donor identification and cultivation, grant research, and grant writing. 
Political Organizing - Facilitator TBA  
12pm Lunch & Networking
1pm to 5pm
Exploring Careers in Politics explores the number of lucrative career opportunities for women in the political sector and touches on transitioning professionally into the political sector.
Campaign Strategy 101 teaches one how to think ""politically"" and navigate the political landscape whether running for office, planning for a career in politics or working in advocacy. This course curriculum covers creating and implementing effective political strategies for candidate and issue campaigns at all levels. 
Campaign Finance 101 is a course for candidates and fundraising staff covers creating a campaign finance plan, setting fundraising goals, donor identification/cultivation/solicitation, campaign finance regulations and hiring fundraising staff.
",2017-04-29,2017-04-20 11:35:48.481872
